Section,Description,Qty,Unit Cost,Total Cost,Supplier,Link
,,,,,,
COURSE DEVELOPMENT,,,,,,
,Course Development Work Day (1 day sub),1,$148.25,$148.25,,
,Curriculum Revisions (2 days x 2 years x 1 teacher),1,$594.00,$594.00,,
,Project 1: Fidget Spinner Development (2 days),1,$306.00,$306.00,,
,Project 2: LED Sign/Wall Art Development (2 days),1,$306.00,$306.00,,
,Project 3: Acrylic Ornament Development (2 days),1,$306.00,$306.00,,
,Project 4: Silicone Molds Development (2 days),1,$306.00,$306.00,,
,Project 5: Plant Watering Development (2 days),1,$306.00,$306.00,,
,Capstone Project Development (2 days),1,$306.00,$306.00,,
,Outfeed Table Development (2 days),1,$306.00,$306.00,,
,Shop Preparation Maintenance and Repair (5 days),1,$765.00,$765.00,,
,Subtotal,,,"$3,649.25",,
,,,,,,
CAPITAL IMPROVEMENTS (One-Time Purchase),,,,,,
,BambuLab A1 Mini 3D Printer,10,$276.00,"$2,760.00",BambuLab,https://us.store.bambulab.com/products/a1-mini
,BambuLab H2C 3D Printer,1,"$2,399.00","$2,399.00",BambuLab,https://us.store.bambulab.com/products/h2c
,Creality K1C PEI Build Plate 235x235mm (Ender 3 V3 KE),10,$20.00,$200.00,Amazon,https://www.amazon.com/dp/B0CYC9YP3R
,"Industrial Packing Table 96x30"" Maple Top Square Edge",2,$725.00,"$1,450.00",Uline,https://www.uline.com/Product/Detail/H-2484-SMAP/Industrial-Packing-Tables/Industrial-Packing-Table-96-x-30-Maple-Top-with-Square-Edge
,"Packing Table Locking Drawer 25x22x6""",10,$130.00,"$1,300.00",Uline,https://www.uline.com/Product/Detail/H-4833/Industrial-Packing-Tables/Packing-Table-Locking-Drawer-25-x-22-x-6
,--- Table Saw Outfeed Table Build ---,,,,,
,"3/4"" Plywood/MDF Sheet (4x8)",1,$55.00,$55.00,Home Depot,
,"2"" Tube Steel (8' lengths)",6,$15.00,$90.00,Alro,
,"Locking Casters (3"" heavy duty)",4,$12.00,$48.00,Amazon,https://www.amazon.com/Caster-Wheels-Casters-Industrial-Polyurethane/dp/B09L6TZ814
,Leveling Feet,4,$4.00,$16.00,Amazon,https://www.amazon.com/Adjustable-Leveling-Furniture-Levelers-Cabinets-Sofa/dp/B09TZNF7B4
,"Hardware (screws, bolts, brackets)",1,$25.00,$25.00,Amazon,https://www.amazon.com/s?k=hardware+assortment+screws+bolts+brackets
,Finish/Sealant,1,$20.00,$20.00,Amazon,https://www.amazon.com/s?k=wood+finish+sealant
,--- End Table Saw Outfeed Table Build ---,,,,,
,Subtotal,,,"$8,363.00",,
,,,,,,
RECURRING CONSUMABLES - 3D Printing,,,,,,
,PLA Filament 1kg Spool (assorted colors),40,$18.89,$755.60,Amazon,https://www.amazon.com/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B07ZJPCQBN
,PETG Filament 1kg Spool,10,$22.00,$220.00,Amazon,https://www.amazon.com/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B0B6RVJC9B
,TPU Flexible Filament 1kg Spool,5,$25.00,$125.00,Amazon,https://www.amazon.com/OVERTURE-Filament-Flexible-Dimensional-Accuracy/dp/B0BGMP1MZ7
,Isopropyl Alcohol 99% Spray Bottle (32oz),10,$12.00,$120.00,Amazon,https://www.amazon.com/Alliance-Chemical-Isopropyl-Alcohol-Rubbing/dp/B08L6YZS6Q
,Subtotal,,,"$1,265.60",,
,,,,,,
RECURRING CONSUMABLES - Sheet Materials,,,,,,
,"1/8"" Polycarbonate (full 4x8 sheets)",2,$90.00,$180.00,Alro,
,"1/4"" Polycarbonate (full 4x8 sheets)",4,$155.00,$620.00,Alro,
,Steel 16ga 4x4 sheet (~26 lbs @ $0.60/lb),10,$15.60,$156.00,Alro,
,Steel 18ga 4x4 sheet (~20 lbs @ $0.60/lb),10,$12.00,$120.00,Alro,
,Steel 24ga 4x4 sheet (~10 lbs @ $0.60/lb),10,$6.00,$60.00,Alro,
,"Plywood 1/4"" Baltic Birch",20,$15.00,$300.00,Home Depot,
,"MDF 1/2""",10,$12.00,$120.00,Home Depot,
,"Acrylic 1/8"" (various colors)",15,$12.00,$180.00,Amazon,https://www.amazon.com/Colored-Acrylic-Sheets-Cutting-Engraving/dp/B0DTSG32FM
,Subtotal,,,"$1,736.00",,
,,,,,,
RECURRING CONSUMABLES - Electronics,,,,,,
,LED Strip Lights 5m rolls 12V,10,$12.00,$120.00,Amazon,https://www.amazon.com/Flexible-Kitchen-Christmas-Non-waterproof-Daylight/dp/B00HSF65MC
,LED Assortment (bag of 500),2,$15.00,$30.00,Amazon,https://www.amazon.com/Emitting-Assortment-Voltage-Diffused-Indicator/dp/B07N2H23DC
,Resistor Kit,5,$12.00,$60.00,Amazon,https://www.amazon.com/Resistor-Assorted-Resistors-Assortment-Experiments/dp/B07L851T3V
,Jumper Wire Kits,20,$6.50,$130.00,Amazon,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78
,Breadboards 400-point,30,$2.50,$75.00,Amazon,https://www.amazon.com/ELEGOO-Breadboard-Solderless-Breadboards-Electronics/dp/B0CYPVMK9J
,USB Cables A-to-B,30,$3.00,$90.00,Amazon,https://www.amazon.com/Data-Cable-Arduino-Printer-100cm/dp/B0BGMXT8FZ
